Date,Cpi
9/17/2014,237.477
9/18/2014,237.477
9/19/2014,237.477
9/22/2014,237.477
9/23/2014,237.477
9/24/2014,237.477
9/25/2014,237.477
9/26/2014,237.477
9/29/2014,237.477
9/30/2014,237.477
10/1/2014,237.43
10/2/2014,237.43
10/3/2014,237.43
10/6/2014,237.43
10/7/2014,237.43
10/8/2014,237.43
10/9/2014,237.43
10/10/2014,237.43
10/13/2014,237.43
10/14/2014,237.43
10/15/2014,237.43
10/16/2014,237.43
10/17/2014,237.43
10/20/2014,237.43
10/21/2014,237.43
10/22/2014,237.43
10/23/2014,237.43
10/24/2014,237.43
10/27/2014,237.43
10/28/2014,237.43
10/29/2014,237.43
10/30/2014,237.43
10/31/2014,237.43
11/3/2014,236.983
11/4/2014,236.983
11/5/2014,236.983
11/6/2014,236.983
11/7/2014,236.983
11/10/2014,236.983
11/11/2014,236.983
11/12/2014,236.983
11/13/2014,236.983
11/14/2014,236.983
11/17/2014,236.983
11/18/2014,236.983
11/19/2014,236.983
11/20/2014,236.983
11/21/2014,236.983
11/24/2014,236.983
11/25/2014,236.983
11/26/2014,236.983
11/28/2014,236.983
12/1/2014,236.252
12/2/2014,236.252
12/3/2014,236.252
12/4/2014,236.252
12/5/2014,236.252
12/8/2014,236.252
12/9/2014,236.252
12/10/2014,236.252
12/11/2014,236.252
12/12/2014,236.252
12/15/2014,236.252
12/16/2014,236.252
12/17/2014,236.252
12/18/2014,236.252
12/19/2014,236.252
12/22/2014,236.252
12/23/2014,236.252
12/24/2014,236.252
12/26/2014,236.252
12/29/2014,236.252
12/30/2014,236.252
12/31/2014,236.252
1/2/2015,234.747
1/5/2015,234.747
1/6/2015,234.747
1/7/2015,234.747
1/8/2015,234.747
1/9/2015,234.747
1/12/2015,234.747
1/13/2015,234.747
1/14/2015,234.747
1/15/2015,234.747
1/16/2015,234.747
1/20/2015,234.747
1/21/2015,234.747
1/22/2015,234.747
1/23/2015,234.747
1/26/2015,234.747
1/27/2015,234.747
1/28/2015,234.747
1/29/2015,234.747
1/30/2015,234.747
2/2/2015,235.342
2/3/2015,235.342
2/4/2015,235.342
2/5/2015,235.342
2/6/2015,235.342
2/9/2015,235.342
2/10/2015,235.342
2/11/2015,235.342
2/12/2015,235.342
2/13/2015,235.342
2/17/2015,235.342
2/18/2015,235.342
2/19/2015,235.342
2/20/2015,235.342
2/23/2015,235.342
2/24/2015,235.342
2/25/2015,235.342
2/26/2015,235.342
2/27/2015,235.342
3/2/2015,235.976
3/3/2015,235.976
3/4/2015,235.976
3/5/2015,235.976
3/6/2015,235.976
3/9/2015,235.976
3/10/2015,235.976
3/11/2015,235.976
3/12/2015,235.976
3/13/2015,235.976
3/16/2015,235.976
3/17/2015,235.976
3/18/2015,235.976
3/19/2015,235.976
3/20/2015,235.976
3/23/2015,235.976
3/24/2015,235.976
3/25/2015,235.976
3/26/2015,235.976
3/27/2015,235.976
3/30/2015,235.976
3/31/2015,235.976
4/1/2015,236.222
4/2/2015,236.222
4/6/2015,236.222
4/7/2015,236.222
4/8/2015,236.222
4/9/2015,236.222
4/10/2015,236.222
4/13/2015,236.222
4/14/2015,236.222
4/15/2015,236.222
4/16/2015,236.222
4/17/2015,236.222
4/20/2015,236.222
4/21/2015,236.222
4/22/2015,236.222
4/23/2015,236.222
4/24/2015,236.222
4/27/2015,236.222
4/28/2015,236.222
4/29/2015,236.222
4/30/2015,236.222
5/1/2015,237.001
5/4/2015,237.001
5/5/2015,237.001
5/6/2015,237.001
5/7/2015,237.001
5/8/2015,237.001
5/11/2015,237.001
5/12/2015,237.001
5/13/2015,237.001
5/14/2015,237.001
5/15/2015,237.001
5/18/2015,237.001
5/19/2015,237.001
5/20/2015,237.001
5/21/2015,237.001
5/22/2015,237.001
5/26/2015,237.001
5/27/2015,237.001
5/28/2015,237.001
5/29/2015,237.001
6/1/2015,237.657
6/2/2015,237.657
6/3/2015,237.657
6/4/2015,237.657
6/5/2015,237.657
6/8/2015,237.657
6/9/2015,237.657
6/10/2015,237.657
6/11/2015,237.657
6/12/2015,237.657
6/15/2015,237.657
6/16/2015,237.657
6/17/2015,237.657
6/18/2015,237.657
6/19/2015,237.657
6/22/2015,237.657
6/23/2015,237.657
6/24/2015,237.657
6/25/2015,237.657
6/26/2015,237.657
6/29/2015,237.657
6/30/2015,237.657
7/1/2015,238.034
7/2/2015,238.034
7/6/2015,238.034
7/7/2015,238.034
7/8/2015,238.034
7/9/2015,238.034
7/10/2015,238.034
7/13/2015,238.034
7/14/2015,238.034
7/15/2015,238.034
7/16/2015,238.034
7/17/2015,238.034
7/20/2015,238.034
7/21/2015,238.034
7/22/2015,238.034
7/23/2015,238.034
7/24/2015,238.034
7/27/2015,238.034
7/28/2015,238.034
7/29/2015,238.034
7/30/2015,238.034
7/31/2015,238.034
8/3/2015,238.033
8/4/2015,238.033
8/5/2015,238.033
8/6/2015,238.033
8/7/2015,238.033
8/10/2015,238.033
8/11/2015,238.033
8/12/2015,238.033
8/13/2015,238.033
8/14/2015,238.033
8/17/2015,238.033
8/18/2015,238.033
8/19/2015,238.033
8/20/2015,238.033
8/21/2015,238.033
8/24/2015,238.033
8/25/2015,238.033
8/26/2015,238.033
8/27/2015,238.033
8/28/2015,238.033
8/31/2015,238.033
9/1/2015,237.498
9/2/2015,237.498
9/3/2015,237.498
9/4/2015,237.498
9/8/2015,237.498
9/9/2015,237.498
9/10/2015,237.498
9/11/2015,237.498
9/14/2015,237.498
9/15/2015,237.498
9/16/2015,237.498
9/17/2015,237.498
9/18/2015,237.498
9/21/2015,237.498
9/22/2015,237.498
9/23/2015,237.498
9/24/2015,237.498
9/25/2015,237.498
9/28/2015,237.498
9/29/2015,237.498
9/30/2015,237.498
10/1/2015,237.733
10/2/2015,237.733
10/5/2015,237.733
10/6/2015,237.733
10/7/2015,237.733
10/8/2015,237.733
10/9/2015,237.733
10/12/2015,237.733
10/13/2015,237.733
10/14/2015,237.733
10/15/2015,237.733
10/16/2015,237.733
10/19/2015,237.733
10/20/2015,237.733
10/21/2015,237.733
10/22/2015,237.733
10/23/2015,237.733
10/26/2015,237.733
10/27/2015,237.733
10/28/2015,237.733
10/29/2015,237.733
10/30/2015,237.733
11/2/2015,238.017
11/3/2015,238.017
11/4/2015,238.017
11/5/2015,238.017
11/6/2015,238.017
11/9/2015,238.017
11/10/2015,238.017
11/11/2015,238.017
11/12/2015,238.017
11/13/2015,238.017
11/16/2015,238.017
11/17/2015,238.017
11/18/2015,238.017
11/19/2015,238.017
11/20/2015,238.017
11/23/2015,238.017
11/24/2015,238.017
11/25/2015,238.017
11/27/2015,238.017
11/30/2015,238.017
12/1/2015,237.761
12/2/2015,237.761
12/3/2015,237.761
12/4/2015,237.761
12/7/2015,237.761
12/8/2015,237.761
12/9/2015,237.761
12/10/2015,237.761
12/11/2015,237.761
12/14/2015,237.761
12/15/2015,237.761
12/16/2015,237.761
12/17/2015,237.761
12/18/2015,237.761
12/21/2015,237.761
12/22/2015,237.761
12/23/2015,237.761
12/24/2015,237.761
12/28/2015,237.761
12/29/2015,237.761
12/30/2015,237.761
12/31/2015,237.761
1/4/2016,237.652
1/5/2016,237.652
1/6/2016,237.652
1/7/2016,237.652
1/8/2016,237.652
1/11/2016,237.652
1/12/2016,237.652
1/13/2016,237.652
1/14/2016,237.652
1/15/2016,237.652
1/19/2016,237.652
1/20/2016,237.652
1/21/2016,237.652
1/22/2016,237.652
