Date,Gold
9/17/2014,1234.400024
9/18/2014,1225.699951
9/19/2014,1215.300049
9/22/2014,1216.800049
9/23/2014,1221.0
9/24/2014,1218.599976
9/25/2014,1221.199951
9/26/2014,1214.099976
9/29/2014,1217.5
9/30/2014,1210.5
10/1/2014,1214.599976
10/2/2014,1214.199951
10/3/2014,1192.199951
10/6/2014,1206.699951
10/7/2014,1211.699951
10/8/2014,1205.300049
10/9/2014,1224.599976
10/10/2014,1221.0
10/13/2014,1229.300049
10/14/2014,1233.599976
10/15/2014,1244.099976
10/16/2014,1240.5
10/17/2014,1238.300049
10/20/2014,1244.0
10/21/2014,1251.0
10/22/2014,1244.800049
10/23/2014,1228.5
10/24/2014,1231.199951
10/27/2014,1229.099976
10/28/2014,1229.199951
10/29/2014,1224.300049
10/30/2014,1198.099976
10/31/2014,1171.099976
11/3/2014,1169.400024
11/4/2014,1167.400024
11/5/2014,1145.400024
11/6/2014,1142.300049
11/7/2014,1169.599976
11/10/2014,1159.599976
11/11/2014,1162.800049
11/12/2014,1158.900024
11/13/2014,1161.099976
11/14/2014,1185.0
11/17/2014,1183.0
11/18/2014,1196.699951
11/19/2014,1193.599976
11/20/2014,1190.699951
11/21/2014,1197.5
11/24/2014,1195.5
11/25/2014,1197.099976
11/26/2014,1196.599976
11/28/2014,1175.199951
12/1/2014,1218.0
12/2/2014,1199.199951
12/3/2014,1208.5
12/4/2014,1207.5
12/5/2014,1190.099976
12/8/2014,1194.699951
12/9/2014,1231.5
12/10/2014,1228.900024
12/11/2014,1225.099976
12/12/2014,1222.0
12/15/2014,1207.199951
12/16/2014,1193.900024
12/17/2014,1194.300049
12/18/2014,1194.699951
12/19/2014,1195.900024
12/22/2014,1179.699951
12/23/2014,1177.900024
12/24/2014,1173.5
12/26/2014,1195.300049
12/29/2014,1181.699951
12/30/2014,1200.199951
12/31/2014,1183.900024
1/2/2015,1186.0
1/5/2015,1203.900024
1/6/2015,1219.300049
1/7/2015,1210.599976
1/8/2015,1208.400024
1/9/2015,1216.0
1/12/2015,1232.699951
1/13/2015,1234.300049
1/14/2015,1234.400024
1/15/2015,1264.699951
1/16/2015,1276.900024
1/20/2015,1294.199951
1/21/2015,1293.699951
1/22/2015,1300.699951
1/23/2015,1292.599976
1/26/2015,1279.400024
1/27/2015,1291.699951
1/28/2015,1285.900024
1/29/2015,1254.599976
1/30/2015,1278.5
2/2/2015,1276.199951
2/3/2015,1259.699951
2/4/2015,1263.800049
2/5/2015,1262.0
2/6/2015,1233.900024
2/9/2015,1240.800049
2/10/2015,1231.599976
2/11/2015,1219.0
2/12/2015,1220.099976
2/13/2015,1226.5
2/17/2015,1208.099976
2/18/2015,1199.699951
2/19/2015,1207.099976
2/20/2015,1204.400024
2/23/2015,1200.300049
2/24/2015,1196.900024
2/25/2015,1201.0
2/26/2015,1209.599976
2/27/2015,1212.599976
3/2/2015,1207.699951
3/3/2015,1204.0
3/4/2015,1200.599976
3/5/2015,1195.900024
3/6/2015,1164.099976
3/9/2015,1166.400024
3/10/2015,1160.099976
3/11/2015,1150.699951
3/12/2015,1152.099976
3/13/2015,1152.599976
3/16/2015,1153.300049
3/17/2015,1148.300049
3/18/2015,1151.400024
3/19/2015,1169.099976
3/20/2015,1184.800049
3/23/2015,1188.0
3/24/2015,1191.699951
3/25/2015,1197.300049
3/26/2015,1205.099976
3/27/2015,1199.800049
3/30/2015,1184.800049
3/31/2015,1183.099976
4/1/2015,1208.099976
4/2/2015,1200.900024
4/6/2015,1218.599976
4/7/2015,1210.599976
4/8/2015,1203.099976
4/9/2015,1193.599976
4/10/2015,1204.599976
4/13/2015,1199.300049
4/14/2015,1192.800049
4/15/2015,1201.5
4/16/2015,1198.0
4/17/2015,1202.900024
4/20/2015,1193.5
4/21/2015,1202.900024
4/22/2015,1186.900024
4/23/2015,1194.400024
4/24/2015,1175.199951
4/27/2015,1203.300049
4/28/2015,1214.0
4/29/2015,1209.800049
4/30/2015,1182.400024
5/1/2015,1174.5
5/4/2015,1186.800049
5/5/2015,1193.199951
5/6/2015,1190.300049
5/7/2015,1182.400024
5/8/2015,1189.099976
5/11/2015,1183.199951
5/12/2015,1192.599976
5/13/2015,1218.400024
5/14/2015,1225.400024
5/15/2015,1225.5
5/18/2015,1227.800049
5/19/2015,1206.900024
5/20/2015,1208.900024
5/21/2015,1204.400024
5/22/2015,1204.300049
5/26/2015,1187.199951
5/27/2015,1185.900024
5/28/2015,1188.099976
5/29/2015,1189.400024
6/1/2015,1188.300049
6/2/2015,1194.099976
6/3/2015,1184.699951
6/4/2015,1174.900024
6/5/2015,1167.800049
6/8/2015,1173.199951
6/9/2015,1177.300049
6/10/2015,1186.099976
6/11/2015,1179.900024
6/12/2015,1178.800049
6/15/2015,1185.300049
6/16/2015,1180.5
6/17/2015,1176.400024
6/18/2015,1201.5
6/19/2015,1201.5
6/22/2015,1183.699951
6/23/2015,1176.199951
6/24/2015,1172.599976
6/25/2015,1171.5
6/26/2015,1172.900024
6/29/2015,1178.5
6/30/2015,1171.5
7/1/2015,1169.0
7/2/2015,1163.0
7/6/2015,1172.900024
7/7/2015,1152.400024
7/8/2015,1163.300049
7/9/2015,1159.0
7/10/2015,1157.699951
7/13/2015,1155.199951
7/14/2015,1153.300049
7/15/2015,1147.199951
7/16/2015,1143.800049
7/17/2015,1131.800049
7/20/2015,1106.699951
7/21/2015,1103.400024
7/22/2015,1091.400024
7/23/2015,1094.0
7/24/2015,1085.599976
7/27/2015,1096.5
7/28/2015,1096.300049
7/29/2015,1092.699951
7/30/2015,1088.400024
7/31/2015,1094.900024
8/3/2015,1089.400024
8/4/2015,1090.699951
8/5/2015,1085.699951
8/6/2015,1090.199951
8/7/2015,1094.099976
8/10/2015,1104.199951
8/11/2015,1107.599976
8/12/2015,1123.199951
8/13/2015,1115.699951
8/14/2015,1112.900024
8/17/2015,1118.599976
8/18/2015,1117.099976
8/19/2015,1128.099976
8/20/2015,1153.0
8/21/2015,1159.599976
8/24/2015,1153.400024
8/25/2015,1138.199951
8/26/2015,1124.599976
8/27/2015,1122.400024
8/28/2015,1133.099976
8/31/2015,1131.599976
9/1/2015,1138.699951
9/2/2015,1132.5
9/3/2015,1123.699951
9/4/2015,1120.599976
