Date,Int_rate
9/17/2014,2.599999905
9/18/2014,2.628999949
9/19/2014,2.586999893
9/22/2014,2.565999985
9/23/2014,2.535000086
9/24/2014,2.569000006
9/25/2014,2.510999918
9/26/2014,2.535000086
9/29/2014,2.490999937
9/30/2014,2.507999897
10/1/2014,2.403000116
10/2/2014,2.437999964
10/3/2014,2.447000027
10/6/2014,2.424999952
10/7/2014,2.349999905
10/8/2014,2.329999924
10/9/2014,2.326999903
10/10/2014,2.306999922
10/13/2014,2.286000013
10/14/2014,2.20600009
10/15/2014,2.089999914
10/16/2014,2.153000116
10/17/2014,2.198999882
10/20/2014,2.180999994
10/21/2014,2.207999945
10/22/2014,2.229000092
10/23/2014,2.275000095
10/24/2014,2.273000002
10/27/2014,2.256999969
10/28/2014,2.28399992
10/29/2014,2.322999954
10/30/2014,2.305000067
10/31/2014,2.335000038
11/3/2014,2.34800005
11/4/2014,2.342000008
11/5/2014,2.349999905
11/6/2014,2.375
11/7/2014,2.312000036
11/10/2014,2.358999968
11/11/2014,2.359999895
11/12/2014,2.358999968
11/13/2014,2.346999884
11/14/2014,2.319999933
11/17/2014,2.339999914
11/18/2014,2.322000027
11/19/2014,2.351000071
11/20/2014,2.335000038
11/21/2014,2.315000057
11/24/2014,2.309999943
11/25/2014,2.25999999
11/26/2014,2.233999968
11/28/2014,2.194000006
12/1/2014,2.217999935
12/2/2014,2.285000086
12/3/2014,2.286999941
12/4/2014,2.256999969
12/5/2014,2.306999922
12/8/2014,2.256999969
12/9/2014,2.220000029
12/10/2014,2.16899991
12/11/2014,2.177999973
12/12/2014,2.102999926
12/15/2014,2.115999937
12/16/2014,2.071000099
12/17/2014,2.148000002
12/18/2014,2.203999996
12/19/2014,2.176000118
12/22/2014,2.161999941
12/23/2014,2.256999969
12/24/2014,2.263999939
12/26/2014,2.25
12/29/2014,2.207000017
12/30/2014,2.190000057
12/31/2014,2.170000076
1/2/2015,2.122999907
1/5/2015,2.039000034
1/6/2015,1.963000059
1/7/2015,1.953999996
1/8/2015,2.016000032
1/9/2015,1.970999956
1/12/2015,1.911999941
1/13/2015,1.889999986
1/14/2015,1.837000012
1/15/2015,1.774999976
1/16/2015,1.815000057
1/20/2015,1.807000041
1/21/2015,1.853000045
1/22/2015,1.896000028
1/23/2015,1.817000031
1/26/2015,1.827999949
1/27/2015,1.825000048
1/28/2015,1.723999977
1/29/2015,1.751000047
1/30/2015,1.674999952
2/2/2015,1.672999978
2/3/2015,1.779999971
2/4/2015,1.797000051
2/5/2015,1.815000057
2/6/2015,1.937999964
2/9/2015,1.947999954
2/10/2015,1.991000056
2/11/2015,1.988000035
2/12/2015,1.985999942
2/13/2015,2.020999908
2/17/2015,2.144999981
2/18/2015,2.065999985
2/19/2015,2.112999916
2/20/2015,2.132999897
2/23/2015,2.059000015
2/24/2015,1.988000035
2/25/2015,1.968999982
2/26/2015,2.016000032
2/27/2015,2.002000093
3/2/2015,2.084000111
3/3/2015,2.121999979
3/4/2015,2.122999907
3/5/2015,2.111999989
3/6/2015,2.24000001
3/9/2015,2.194999933
3/10/2015,2.125999928
3/11/2015,2.108999968
3/12/2015,2.095999956
3/13/2015,2.111999989
3/16/2015,2.09800005
3/17/2015,2.058000088
3/18/2015,1.950999975
3/19/2015,1.976999998
3/20/2015,1.929999948
3/23/2015,1.914999962
3/24/2015,1.878000021
3/25/2015,1.919999957
3/26/2015,2.006999969
3/27/2015,1.947999954
3/30/2015,1.963000059
3/31/2015,1.934000015
4/1/2015,1.868000031
4/2/2015,1.904000044
4/6/2015,1.904000044
4/7/2015,1.893000007
4/8/2015,1.894999981
4/9/2015,1.957999945
4/10/2015,1.950999975
4/13/2015,1.93900001
4/14/2015,1.904000044
4/15/2015,1.899999976
4/16/2015,1.878000021
4/17/2015,1.850000024
4/20/2015,1.894999981
4/21/2015,1.916000009
4/22/2015,1.972000003
4/23/2015,1.947000027
4/24/2015,1.917000055
4/27/2015,1.924000025
4/28/2015,1.97300005
4/29/2015,2.035000086
4/30/2015,2.046000004
5/1/2015,2.117000103
5/4/2015,2.13499999
5/5/2015,2.176000118
5/6/2015,2.24000001
5/7/2015,2.184000015
5/8/2015,2.150000095
5/11/2015,2.273999929
5/12/2015,2.25999999
5/13/2015,2.282000065
5/14/2015,2.239000082
5/15/2015,2.141000032
5/18/2015,2.227999926
5/19/2015,2.262000084
5/20/2015,2.250999928
5/21/2015,2.184999943
5/22/2015,2.214999914
5/26/2015,2.137000084
5/27/2015,2.13499999
5/28/2015,2.130000114
5/29/2015,2.095000029
6/1/2015,2.191999912
6/2/2015,2.266000032
6/3/2015,2.365999937
6/4/2015,2.306999922
6/5/2015,2.40199995
6/8/2015,2.381000042
6/9/2015,2.417000055
6/10/2015,2.477999926
6/11/2015,2.382999897
6/12/2015,2.38499999
6/15/2015,2.35800004
6/16/2015,2.318000078
6/17/2015,2.305999994
6/18/2015,2.351000071
6/19/2015,2.26699996
6/22/2015,2.359999895
6/23/2015,2.40899992
6/24/2015,2.371000051
6/25/2015,2.392999887
6/26/2015,2.476000071
6/29/2015,2.33100009
6/30/2015,2.335000038
7/1/2015,2.417999983
7/2/2015,2.392999887
7/6/2015,2.278000116
7/7/2015,2.230999947
7/8/2015,2.20600009
7/9/2015,2.301000118
7/10/2015,2.417000055
7/13/2015,2.430000067
7/14/2015,2.398999929
7/15/2015,2.349999905
7/16/2015,2.351999998
7/17/2015,2.348999977
7/20/2015,2.371999979
7/21/2015,2.339999914
7/22/2015,2.322000027
7/23/2015,2.27699995
7/24/2015,2.270999908
7/27/2015,2.227999926
7/28/2015,2.25
7/29/2015,2.279000044
7/30/2015,2.267999887
7/31/2015,2.204999924
8/3/2015,2.150000095
8/4/2015,2.210999966
8/5/2015,2.267999887
8/6/2015,2.233999968
8/7/2015,2.174999952
8/10/2015,2.237999916
8/11/2015,2.137000084
8/12/2015,2.130000114
8/13/2015,2.188999891
8/14/2015,2.196000099
8/17/2015,2.150000095
8/18/2015,2.196000099
8/19/2015,2.128999949
8/20/2015,2.084000111
8/21/2015,2.053999901
8/24/2015,1.996999979
8/25/2015,2.132999897
8/26/2015,2.171999931
8/27/2015,2.167999983
8/28/2015,2.186000109
8/31/2015,2.200000048
9/1/2015,2.171999931
9/2/2015,2.193000078
9/3/2015,2.167999983
9/4/2015,2.128000021
9/8/2015,2.194000006
9/9/2015,2.180999994
9/10/2015,2.221999884
9/11/2015,2.183000088
9/14/2015,2.180000067
9/15/2015,2.280999899
9/16/2015,2.302999973
9/17/2015,2.217000008
9/18/2015,2.130000114
9/21/2015,2.213999987
9/22/2015,2.125
9/23/2015,2.144000053
9/24/2015,2.119999886
9/25/2015,2.167999983
9/28/2015,2.095000029
9/29/2015,2.053999901
9/30/2015,2.059999943
10/1/2015,2.042000055
10/2/2015,1.988999963
10/5/2015,2.055999994
10/6/2015,2.035000086
10/7/2015,2.062000036
10/8/2015,2.10800004
10/9/2015,2.098999977
10/12/2015,2.089999914
10/13/2015,2.055000067
10/14/2015,1.980999947
10/15/2015,2.023000002
10/16/2015,2.023000002
10/19/2015,2.028000116
10/20/2015,2.071000099
10/21/2015,2.029999971
10/22/2015,2.025000095
10/23/2015,2.082999945
10/26/2015,2.058000088
10/27/2015,2.028000116
10/28/2015,2.092000008
10/29/2015,2.173000097
10/30/2015,2.151000023
11/2/2015,2.187000036
11/3/2015,2.220000029
11/4/2015,2.230000019
11/5/2015,2.244999886
11/6/2015,2.332999945
11/9/2015,2.342000008
11/10/2015,2.322000027
11/11/2015,2.338000059
11/12/2015,2.319000006
11/13/2015,2.279999971
11/16/2015,2.273000002
11/17/2015,2.260999918
11/18/2015,2.269000053
11/19/2015,2.247999907
11/20/2015,2.262000084
11/23/2015,2.25
11/24/2015,2.243000031
11/25/2015,2.232000113
11/27/2015,2.224999905
11/30/2015,2.217999935
12/1/2015,2.154999971
12/2/2015,2.177999973
12/3/2015,2.329999924
12/4/2015,2.275000095
12/7/2015,2.224999905
12/8/2015,2.237999916
12/9/2015,2.207999945
12/10/2015,2.239000082
12/11/2015,2.138999939
12/14/2015,2.224999905
12/15/2015,2.267999887
12/16/2015,2.286999941
12/17/2015,2.237999916
12/18/2015,2.198999882
12/21/2015,2.197000027
12/22/2015,2.239000082
12/23/2015,2.263999939
12/24/2015,2.243000031
12/28/2015,2.224999905
12/29/2015,2.306999922
12/30/2015,2.302999973
12/31/2015,2.269000053
1/4/2016,2.244999886
1/5/2016,2.247999907
1/6/2016,2.177000046
1/7/2016,2.153000116
1/8/2016,2.130000114
1/11/2016,2.157999992
1/12/2016,2.101999998
1/13/2016,2.065999985
1/14/2016,2.09800005
1/15/2016,2.032999992
1/19/2016,2.035000086
1/20/2016,1.983999968
1/21/2016,2.019000053
1/22/2016,2.048000097
1/25/2016,2.022000074
1/26/2016,1.993999958
1/27/2016,2.000999928
1/28/2016,1.985000014
1/29/2016,1.930999994
2/1/2016,1.965999961
2/2/2016,1.863999963
2/3/2016,1.881000042
2/4/2016,1.863999963
2/5/2016,1.84800005
2/8/2016,1.735000014
2/9/2016,1.728999972
2/10/2016,1.705000043
2/11/2016,1.644000053
2/12/2016,1.748000026
2/16/2016,1.777999997
2/17/2016,1.819000006
2/18/2016,1.758999944
2/19/2016,1.748000026
2/22/2016,1.766000032
2/23/2016,1.745000005
2/24/2016,1.741999984
2/25/2016,1.697000027
2/26/2016,1.761999965
2/29/2016,1.74000001
3/1/2016,1.833999991
3/2/2016,1.84800005
3/3/2016,1.830000043
3/4/2016,1.883000016
3/7/2016,1.90199995
3/8/2016,1.832000017
3/9/2016,1.89199996
3/10/2016,1.92900002
3/11/2016,1.976999998
3/14/2016,1.963000059
3/15/2016,1.958999991
3/16/2016,1.937999964
3/17/2016,1.902999997
3/18/2016,1.871000051
3/21/2016,1.922999978
3/22/2016,1.934999943
3/23/2016,1.875
3/24/2016,1.899999976
3/28/2016,1.870000005
3/29/2016,1.81400001
3/30/2016,1.830000043
3/31/2016,1.786000013
4/1/2016,1.792000055
4/4/2016,1.779000044
4/5/2016,1.726999998
4/6/2016,1.754999995
4/7/2016,1.690999985
4/8/2016,1.720000029
4/11/2016,1.723999977
4/12/2016,1.781000018
4/13/2016,1.761999965
4/14/2016,1.781000018
4/15/2016,1.751999974
4/18/2016,1.773000002
4/19/2016,1.782999992
4/20/2016,1.853999972
4/21/2016,1.870000005
4/22/2016,1.888000011
4/25/2016,1.90199995
4/26/2016,1.930999994
4/27/2016,1.860000014
4/28/2016,1.838000059
4/29/2016,1.819000006
5/2/2016,1.86500001
5/3/2016,1.799999952
5/4/2016,1.784000039
5/5/2016,1.746999979
5/6/2016,1.779000044
5/9/2016,1.75999999
5/10/2016,1.75999999
5/11/2016,1.736999989
5/12/2016,1.756999969
5/13/2016,1.705000043
5/16/2016,1.753000021
5/17/2016,1.758999944
5/18/2016,1.879999995
5/19/2016,1.845000029
5/20/2016,1.848999977
5/23/2016,1.838000059
5/24/2016,1.858999968
5/25/2016,1.870000005
5/26/2016,1.822999954
5/27/2016,1.850999951
5/31/2016,1.833999991
6/1/2016,1.845999956
6/2/2016,1.81099999
6/3/2016,1.703999996
6/6/2016,1.72300005
6/7/2016,1.713000059
6/8/2016,1.70599997
6/9/2016,1.679999948
6/10/2016,1.639000058
6/13/2016,1.616000056
6/14/2016,1.610999942
6/15/2016,1.595999956
6/16/2016,1.56400001
6/17/2016,1.618000031
6/20/2016,1.669999957
6/21/2016,1.697000027
6/22/2016,1.684999943
6/23/2016,1.738999963
6/24/2016,1.578999996
6/27/2016,1.460000038
6/28/2016,1.460999966
6/29/2016,1.476999998
6/30/2016,1.488000035
7/1/2016,1.45599997
7/5/2016,1.366999984
7/6/2016,1.38499999
7/7/2016,1.386999965
7/8/2016,1.366000056
7/11/2016,1.434000015
7/12/2016,1.513000011
7/13/2016,1.468000054
7/14/2016,1.531000018
7/15/2016,1.593999982
7/18/2016,1.587000012
7/19/2016,1.557999969
7/20/2016,1.580000043
7/21/2016,1.565000057
7/22/2016,1.570000052
7/25/2016,1.57099998
7/26/2016,1.562999964
7/27/2016,1.514999986
7/28/2016,1.511000037
7/29/2016,1.457999945
8/1/2016,1.496000051
8/2/2016,1.536999941
8/3/2016,1.542000055
8/4/2016,1.503000021
8/5/2016,1.582000017
8/8/2016,1.582999945
8/9/2016,1.544999957
8/10/2016,1.508999944
8/11/2016,1.572999954
8/12/2016,1.514999986
8/15/2016,1.552999973
8/16/2016,1.575999975
8/17/2016,1.56099999
8/18/2016,1.536000013
8/19/2016,1.577999949
8/22/2016,1.539000034
8/23/2016,1.552999973
8/24/2016,1.559000015
8/25/2016,1.577000022
8/26/2016,1.63499999
8/29/2016,1.565999985
8/30/2016,1.570000052
8/31/2016,1.567999959
9/1/2016,1.570000052
9/2/2016,1.595999956
9/6/2016,1.542999983
9/7/2016,1.541000009
9/8/2016,1.616000056
9/9/2016,1.672000051
9/12/2016,1.672000051
9/13/2016,1.733999968
9/14/2016,1.68900001
9/15/2016,1.702999949
9/16/2016,1.700999975
9/19/2016,1.69599998
9/20/2016,1.687999964
9/21/2016,1.667999983
9/22/2016,1.631999969
9/23/2016,1.61500001
9/26/2016,1.588999987
