Date,Jclaim
2014-09-17,288000
2014-09-18,288000
2014-09-19,288000
2014-09-22,295000
2014-09-23,295000
2014-09-24,295000
2014-09-25,295000
2014-09-26,295000
2014-09-29,290000
2014-09-30,290000
2014-10-01,290000
2014-10-02,290000
2014-10-03,290000
2014-10-06,293000
2014-10-07,293000
2014-10-08,293000
2014-10-09,293000
2014-10-10,293000
2014-10-13,281000
2014-10-14,281000
2014-10-15,281000
2014-10-16,281000
2014-10-17,281000
2014-10-20,290000
2014-10-21,290000
2014-10-22,290000
2014-10-23,290000
2014-10-24,290000
2014-10-27,291000
2014-10-28,291000
2014-10-29,291000
2014-10-30,291000
2014-10-31,291000
2014-11-03,280000
2014-11-04,280000
2014-11-05,280000
2014-11-06,280000
2014-11-07,280000
2014-11-10,291000
2014-11-11,291000
2014-11-12,291000
2014-11-13,291000
2014-11-14,291000
2014-11-17,293000
2014-11-18,293000
2014-11-19,293000
2014-11-20,293000
2014-11-21,293000
2014-11-24,303000
2014-11-25,303000
2014-11-26,303000
2014-11-28,303000
2014-12-01,291000
2014-12-02,291000
2014-12-03,291000
2014-12-04,291000
2014-12-05,291000
2014-12-08,291000
2014-12-09,291000
2014-12-10,291000
2014-12-11,291000
2014-12-12,291000
2014-12-15,286000
2014-12-16,286000
2014-12-17,286000
2014-12-18,286000
2014-12-19,286000
2014-12-22,276000
2014-12-23,276000
2014-12-24,276000
2014-12-26,276000
2014-12-29,285000
2014-12-30,285000
2014-12-31,285000
2015-01-02,285000
2015-01-05,294000
2015-01-06,294000
2015-01-07,294000
2015-01-08,294000
2015-01-09,294000
2015-01-12,304000
2015-01-13,304000
2015-01-14,304000
2015-01-15,304000
2015-01-16,304000
2015-01-20,298000
2015-01-21,298000
2015-01-22,298000
2015-01-23,298000
2015-01-26,261000
2015-01-27,261000
2015-01-28,261000
2015-01-29,261000
2015-01-30,261000
2015-02-02,281000
2015-02-03,281000
2015-02-04,281000
2015-02-05,281000
2015-02-06,281000
2015-02-09,298000
2015-02-10,298000
2015-02-11,298000
2015-02-12,298000
2015-02-13,298000
2015-02-17,285000
2015-02-18,285000
2015-02-19,285000
2015-02-20,285000
2015-02-23,305000
2015-02-24,305000
2015-02-25,305000
2015-02-26,305000
2015-02-27,305000
2015-03-02,317000
2015-03-03,317000
2015-03-04,317000
2015-03-05,317000
2015-03-06,317000
2015-03-09,293000
2015-03-10,293000
2015-03-11,293000
2015-03-12,293000
2015-03-13,293000
2015-03-16,290000
2015-03-17,290000
2015-03-18,290000
2015-03-19,290000
2015-03-20,290000
2015-03-23,284000
2015-03-24,284000
2015-03-25,284000
2015-03-26,284000
2015-03-27,284000
2015-03-30,269000
2015-03-31,269000
2015-04-01,269000
2015-04-02,269000
2015-04-06,282000
2015-04-07,282000
2015-04-08,282000
2015-04-09,282000
2015-04-10,282000
2015-04-13,298000
2015-04-14,298000
2015-04-15,298000
2015-04-16,298000
2015-04-17,298000
2015-04-20,295000
2015-04-21,295000
2015-04-22,295000
2015-04-23,295000
2015-04-24,295000
2015-04-27,269000
2015-04-28,269000
2015-04-29,269000
2015-04-30,269000
2015-05-01,269000
2015-05-04,267000
2015-05-05,267000
2015-05-06,267000
2015-05-07,267000
2015-05-08,267000
2015-05-11,271000
2015-05-12,271000
2015-05-13,271000
2015-05-14,271000
2015-05-15,271000
2015-05-18,276000
2015-05-19,276000
2015-05-20,276000
2015-05-21,276000
2015-05-22,276000
2015-05-26,281000
2015-05-27,281000
2015-05-28,281000
2015-05-29,281000
2015-06-01,275000
2015-06-02,275000
2015-06-03,275000
2015-06-04,275000
2015-06-05,275000
2015-06-08,278000
2015-06-09,278000
2015-06-10,278000
2015-06-11,278000
2015-06-12,278000
2015-06-15,269000
2015-06-16,269000
2015-06-17,269000
2015-06-18,269000
2015-06-19,269000
2015-06-22,273000
2015-06-23,273000
2015-06-24,273000
2015-06-25,273000
2015-06-26,273000
2015-06-29,275000
2015-06-30,275000
2015-07-01,275000
2015-07-02,275000
2015-07-06,292000
2015-07-07,292000
2015-07-08,292000
2015-07-09,292000
2015-07-10,292000
2015-07-13,285000
2015-07-14,285000
2015-07-15,285000
2015-07-16,285000
2015-07-17,285000
2015-07-20,265000
2015-07-21,265000
2015-07-22,265000
2015-07-23,265000
2015-07-24,265000
2015-07-27,269000
2015-07-28,269000
2015-07-29,269000
2015-07-30,269000
2015-07-31,269000
2015-08-03,270000
2015-08-04,270000
2015-08-05,270000
2015-08-06,270000
2015-08-07,270000
2015-08-10,274000
2015-08-11,274000
2015-08-12,274000
2015-08-13,274000
2015-08-14,274000
2015-08-17,279000
2015-08-18,279000
2015-08-19,279000
2015-08-20,279000
2015-08-21,279000
2015-08-24,274000
2015-08-25,274000
2015-08-26,274000
2015-08-27,274000
2015-08-28,274000
2015-08-31,279000
2015-09-01,279000
2015-09-02,279000
2015-09-03,279000
2015-09-04,279000
2015-09-08,273000
2015-09-09,273000
2015-09-10,273000
2015-09-11,273000
2015-09-14,264000
2015-09-15,264000
2015-09-16,264000
2015-09-17,264000
2015-09-18,264000
2015-09-21,269000
2015-09-22,269000
2015-09-23,269000
2015-09-24,269000
2015-09-25,269000
2015-09-28,272000
2015-09-29,272000
2015-09-30,272000
2015-10-01,272000
2015-10-02,272000
2015-10-05,267000
2015-10-06,267000
2015-10-07,267000
2015-10-08,267000
2015-10-09,267000
2015-10-12,265000
2015-10-13,265000
2015-10-14,265000
2015-10-15,265000
2015-10-16,265000
2015-10-19,264000
2015-10-20,264000
2015-10-21,264000
2015-10-22,264000
2015-10-23,264000
2015-10-26,264000
2015-10-27,264000
2015-10-28,264000
2015-10-29,264000
2015-10-30,264000
2015-11-02,275000
